,TSLA,BND,SPY
TSLA,0.2818230704961244,0.0010387687744085581,0.03263550106753916
BND,0.0010387687744085581,0.00221682933241795,0.00036727272100406014
SPY,0.03263550106753916,0.00036727272100406014,0.019750266960246923
